,Site Name,Upper Age (IntCal20),Lower Age (IntCal20),Stratigraphy (CARD),Context (CARD),Unit Name (Neotoma),Original Age Type,Latitude,Longitude,Citation 1,Citation 2,Citation 3,Citation 4,Citation 5,Citation 6,Citation 7,Citation 8,Citation 9,Citation 10,Citation 11,Citation 12,Citation 13,Data Source
740,Delaware Canyon 34CD257A,1942,923,NA,NA,Level 10,Radiocarbon years BP,35.25,-98.366667,"Butler, B. H., and B. C. Yates. 1982. Animal exploitation in the Delaware Canyon area. Pages 117-156 in The late Holocene prehistory of Delaware Canyon, Oklahoma (C. R. Ferring, editor), North Texas State University, Institute of Applied Sciences, Contributions in Archaeology 1.","Davis, L. C. 1987. Late Pleistocene/Holocene environmental changes in the central plains of the United States: the mammalian record. Pages 88-143 in Late Quaternary mammalian biogeography and environments of the Great Plains and prairies (R. W. Graham, H. A. Semken, Jr., and M. A. Graham, editors), Illinois State Museum Scientific Papers 22.","Ferring, C. R. 1982. The late Holocene prehistory of Delaware Canyon Oklahoma. North Texas State University, Institute of Applied Sciences, Contributions in Archaeology 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
741,Delaware Canyon 34CD258A,602,486,NA,NA,Assemblage,Radiocarbon years BP,35.25,-98.366667,"Butler, B. H., and B. C. Yates. 1982. Animal exploitation in the Delaware Canyon area. Pages 117-156 in The late Holocene prehistory of Delaware Canyon, Oklahoma (C. R. Ferring, editor), North Texas State University, Institute of Applied Sciences, Contributions in Archaeology 1.","Davis, L. C. 1987. Late Pleistocene/Holocene environmental changes in the central plains of the United States: the mammalian record. Pages 88-143 in Late Quaternary mammalian biogeography and environments of the Great Plains and prairies (R. W. Graham, H. A. Semken, Jr., and M. A. Graham, editors), Illinois State Museum Scientific Papers 22.","Ferring, C. R. 1982. The late Holocene prehistory of Delaware Canyon Oklahoma. North Texas State University, Institute of Applied Sciences, Contributions in Archaeology 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
742,Delaware Canyon 34CD258C,2754,2581,NA,NA,Assemblage,Radiocarbon years BP,35.25,-98.366667,"Butler, B. H., and B. C. Yates. 1982. Animal exploitation in the Delaware Canyon area. Pages 117-156 in The late Holocene prehistory of Delaware Canyon, Oklahoma (C. R. Ferring, editor), North Texas State University, Institute of Applied Sciences, Contributions in Archaeology 1.","Ferring, C. R. 1982. The late Holocene prehistory of Delaware Canyon Oklahoma. North Texas State University, Institute of Applied Sciences, Contributions in Archaeology 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
743,Delaware Canyon 34CD258D,1760,958,NA,NA,Levels 100-110,Radiocarbon years BP,35.25,-98.366667,"Butler, B. H., and B. C. Yates. 1982. Animal exploitation in the Delaware Canyon area. Pages 117-156 in The late Holocene prehistory of Delaware Canyon, Oklahoma (C. R. Ferring, editor), North Texas State University, Institute of Applied Sciences, Contributions in Archaeology 1.","Ferring, C. R. 1982. The late Holocene prehistory of Delaware Canyon Oklahoma. North Texas State University, Institute of Applied Sciences, Contributions in Archaeology 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
744,Demery [39CO1],486,407,NA,NA,Assemblage,Radiocarbon years BP,45.866667,-100.5,"Woolworth, A. R., and W. R. Wood. 1964. The Demery site (39CO1), Oahe Reservoir area, South Dakota. Smithsonian Institution, Bureau of American Ethnology Bulletin, 189, River Basin Survey 34:67-138.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
745,Dersch Locality [DkPj-35],1932,1772,NA,NA,NA,Radiocarbon years BP,49.7,-113.65,"Harington, 2003: 442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
746,Dersch Locality [DkPj-35],1766,1626,NA,NA,NA,Radiocarbon years BP,49.7,-113.65,"Harington, 2003: 443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
747,Dersch Locality [DkPj-35],1533,1353,NA,"Level 3, 57 cm depth",NA,Radiocarbon years BP,49.7,-113.65,"Harington, 2003: 445","Beaudoin, 1998","Tiffany, 1993","Fedirchuk, 1991",Faunmap 3983,NA,NA,NA,NA,NA,NA,NA,NA,CARD
748,Dersch Locality [DkPj-35],1524,1344,NA,"Level 1, 0-10 cm depth",NA,Radiocarbon years BP,49.7,-113.65,"Harington, 2003: 445","Beaudoin, 1998","Tiffany, 1993","Fedirchuk, 1991",Faunmap 3983,NA,NA,NA,NA,NA,NA,NA,NA,CARD
749,DeRu-VP,13799,13579,NA,"layer of marl beneath an irrigation pond, 1.5 m depth, removed by a backhoe",NA,Radiocarbon years BP,48.666667,-123.433333,"Harington, 2003: 427","Hebda, 1988","Mackie, 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
750,Desnoyers [JePw-1],1912,1642,NA,"hearth, feature 2, unit 86-2M, 32 cm depth, level 2",NA,Radiocarbon years BP,60.821667,-115.773333,"Hanks and Irving, 1987",Faunmap 4154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
751,DgLh-?,3010,2870,NA,"silt exposed in the upper terrace, 14.5 m depth",NA,Radiocarbon years BP,49.033333,-97.188889,"Morlan et al., 2000: 140",Faunmap 3838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
752,DgOv-93,3036,2746,NA,hearth,NA,Radiocarbon years BP,49.083333,-111.583333,"Brink, 1979","Brumley and Rushworth, 1983",Faunmap 3910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
753,DgOv-94,793,463,NA,"Unit 2, levels 3 and 4, 20-35 cm depth",NA,Radiocarbon years BP,49.083333,-111.583333,"Brink, 1979","Brumley and Rushworth, 1983",Faunmap 3911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
754,DgPh-2,287,117,NA,"lowest level of bone bed at water edge, 4 m depth",NA,Radiocarbon years BP,49.116667,-113.2,"Brumley and Rushworth, 1983","Harington, 2003: 458","Quigg, 1975a","Rutherford et al., 1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
755,DgPk-75,1190,1050,Level 1,"floor of Test 3, Level 6 (analytical level 1)",NA,Radiocarbon years BP,49.133333,-113.667,"Brumley and Rushworth, 1983","Wilmeth, 1978","Rutherford et al., 1975","Quigg, 1974",Faunmap 3929,NA,NA,NA,NA,NA,NA,NA,NA,CARD
756,DgPk-75,743,473,Level 3,"stone-lined hearth, Test 4, Level 2 (analytical level 3)",NA,Radiocarbon years BP,49.133333,-113.667,"Brumley and Rushworth, 1983","Wilmeth, 1978","Rutherford et al., 1975","Quigg, 1974",Faunmap 3929,NA,NA,NA,NA,NA,NA,NA,NA,CARD
757,DgPl-1,4272,3666,NA,NA,Level 1,Radiocarbon years BP,49.083333,-113.917,"Reeves, B.O.K. 1972. The archaeology of Pass Creek valley, Waterton Lakes National Parks. National Historic Sites Service, Manuscript Report, National Historic Sites Service, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
758,DgPl-1,305,125,Level 2,"Level 2, including Hanna, Pelican Lake, and Plains side-notched material",NA,Radiocarbon years BP,49.083333,-113.917,"Brumley and Rushworth, 1983","Reeves, 1972",Faunmap 3930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
759,DgPl-42,2952,2792,Level 1,lower portion of Level 1,NA,Radiocarbon years BP,49.083333,-113.917,"Brumley and Rushworth, 1983","Reeves, 1972","Harington, 2003: 462",Faunmap 3931,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
760,DgPl-42,2003,1823,Level 1,middle portion of Level 1,NA,Radiocarbon years BP,49.083333,-113.917,"Brumley and Rushworth, 1983","Reeves, 1972","Harington, 2003: 462",Faunmap 3931,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
761,DgPl-42,1570,1330,Level 1,upper portion of Level 1,NA,Radiocarbon years BP,49.083333,-113.917,"Brumley and Rushworth, 1983","Reeves, 1972","Harington, 2003: 462",Faunmap 3931,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
762,DgPl-42,1488,1168,Level 1,upper portion of Level 1,NA,Radiocarbon years BP,49.083333,-113.917,"Brumley and Rushworth, 1983","Reeves, 1972","Harington, 2003: 462",Faunmap 3931,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
763,DgPl-42,261,61,Level 3,"Ah horizon, 10 cm depth",NA,Radiocarbon years BP,49.083333,-113.917,"Brumley and Rushworth, 1983","Reeves, 1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
764,DgPl-47,611,391,Level 3,"""Level 3""",NA,Radiocarbon years BP,49.083333,-113.917,"Brumley and Rushworth, 1983","Reeves, 1972","Harington, 2003: 462",Faunmap 3932,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
765,DgPl-55,54,53,NA,unclear provenience,NA,Radiocarbon years BP,49.083333,-113.916667,"Reeves, 1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
766,DgPl-68,470,280,NA,NA,NA,Radiocarbon years BP,49.083333,-113.916667,"Brumley and Rushworth, 1983","Reeves, 1972",Faunmap 3933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
767,DgPl-68,54,53,NA,unclear provenience,NA,Radiocarbon years BP,49.083333,-113.916667,"Brumley and Rushworth, 1983","Reeves, 1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
768,DgPl-85,653,563,NA,uncertain provenience,NA,Radiocarbon years BP,49.083333,-113.916667,"Brumley and Rushworth, 1983","Reeves, 1972",Faunmap 3934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
769,DgPm-1,500,310,Level 3,Level 3,NA,Radiocarbon years BP,49.083333,-114.083333,"Brumley and Rushworth, 1983","Reeves, 1972, 1973",Faunmap 3935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
770,DhLh-?1,2287,2167,NA,"top of 3 m of slumped yellow silt, 1 m depth, overlain by 1 m of gray laminated overbank deposits",NA,Radiocarbon years BP,49.277778,-97.326389,"Morlan et al., 2000: 140",Faunmap 3840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
771,DhLh-?2,6244,6064,NA,"calcareous silty clay in horizontally stratified alluvium, 4.8 m depth, a fresh exposure in a 6 m high section",NA,Radiocarbon years BP,49.293056,-97.319444,"Harington, 2003: 433","Morlan et al., 2000: 140",Faunmap 3841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
772,DhPh-13,1188,948,NA,"rock-ringed hearth, Test 3, Level 4, Feature 2, 58 cm depth",NA,Radiocarbon years BP,49.2125,-113.251389,"Brumley and Rushworth, 1983","Wilmeth, 1978","Quigg, 1975a","Rutherford et al., 1979",Faunmap 3936,NA,NA,NA,NA,NA,NA,NA,NA,CARD
773,Dickison Mound 478,2245,1535,NA,NA,Assemblage,Radiocarbon years BP,40.833889,-89.558333,"Deuel, T. 1948. Illinois records of 1000 A.D. Illinois State Museum Reports of Investigations 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
774,DiLh-?1,467,327,NA,"silty and silty clay alluvium, 2.3 m depth, a fresh exposure in a 3 m high section",NA,Radiocarbon years BP,49.379167,-97.320833,"Harington, 2003: 458","Morlan et al., 2000: 142-143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
775,DiLh-?2,1828,1668,NA,"massive yellow silt underlying about 3.5 m of olive-coloured, laminated alluvium, 4.6 m depth, in a fresh exposure in the floodplain",NA,Radiocarbon years BP,49.390278,-97.305556,"Harington, 2003: 443","Morlan et al., 2000: 143",Faunmap 3842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
776,Dilts [48CA4718],11869,11769,NA,"Bison or large ungulate cranial frag, unburned",NA,Radiocarbon years BP,44.240112,-105.548641,Labelle 2007-The Dilts Site (48Ca4718)…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
777,Dinehart [39LM33],923,665,NA,NA,Assemblage,Radiocarbon years BP,43.854722,-99.332222,"Semken, H.A., Jr., and C.R. Falk. 1987. Late Pleistocene/Holocene mammalian faunas and environmental changes on the northern plains of the United States. Pages 176-313 in R.W. Graham, H.A. Semken, Jr., and M.A. Graham, editors. Late Quaternary mammalian biogeography and environments of the Great Plains and prairies. Scientific Papers 22. Illinois State Museum, Springfield, Illinois, USA.","Chomko, S. A. 1976. Faunal exploitation in the Initial Middle Missouri variant. Pages 35-41 in Fay Tolton and the Initial Middle Missouri variant (W. R. Wood, editor), Missouri Archaeological Society Research Series 13.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
778,Dirty Shame Rockshelter [35ML65],10007,7675,NA,NA,Zone 5,Radiocarbon years BP,42.443333,-117.343333,"Aikens, C. M., D. L. Cole, and R. Stuckenrath. 1977. Excavations at Dirty Shame Rockshelter southeastern Oregon. Tebiwa 4:1-29.","Grayson, D. K. 1977. Paleoclimatic implications of the Dirty Shame Rockshelter mammalian fauna. Tebiwa 9:1-26.","Kittleman, L. R. 1977. Preliminary report on the geology of Dirty Shame Rockshelter, Malheur County, Oregon. Tebiwa 5:1-22.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
779,Dirty Shame Rockshelter [35ML65],8620,7198,NA,NA,Zone 4,Radiocarbon years BP,42.443333,-117.343333,"Aikens, C. M., D. L. Cole, and R. Stuckenrath. 1977. Excavations at Dirty Shame Rockshelter southeastern Oregon. Tebiwa 4:1-29.","Grayson, D. K. 1977. Paleoclimatic implications of the Dirty Shame Rockshelter mammalian fauna. Tebiwa 9:1-26.","Kittleman, L. R. 1977. Preliminary report on the geology of Dirty Shame Rockshelter, Malheur County, Oregon. Tebiwa 5:1-22.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
780,Dixon [13WD8],712,524,NA,NA,Assemblage,Radiocarbon years BP,42.252222,-95.75,"Semken, H.A., Jr., and C.R. Falk. 1987. Late Pleistocene/Holocene mammalian faunas and environmental changes on the northern plains of the United States. Pages 176-313 in R.W. Graham, H.A. Semken, Jr., and M.A. Graham, editors. Late Quaternary mammalian biogeography and environments of the Great Plains and prairies. Scientific Papers 22. Illinois State Museum, Springfield, Illinois, USA.","Fishel, R. L., editor. 1999. Bison hunters of the western prairies: archaeological investigations at the Dixon site (13WD8), Woodbury County, Iowa. Office of the State Archaeologist, Report 21. University of Iowa, Iowa City, Iowa, USA.","Harvey, A. E. 1979. Oneota culture in northwestern Iowa. University of Iowa, Office of the State Archaeologist Report 12:1-251.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
781,DjLg-10a,6418,6278,NA,"silty clay and clay, associated with two Oxbow style projectile points and a hearth, 3 m depth",NA,Radiocarbon years BP,49.584722,-97.145833,"Harington, 2003: 459","Morlan et al., 2000: 143-144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
782,DjLh-?,6292,6152,NA,silt-clay alluvium in point bar deposit overlying Glacial Lake Agassiz clay,NA,Radiocarbon years BP,49.543333,-97.201667,"Harington, 2003: 432","Morlan et al., 2000: 144",Faunmap 3849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
783,DjLh-4,2962,2802,NA,"silty and silty clay alluvium, 80 cm depth, in a freshly dug 5 m deep borrow pit, associated with an aboriginal hearth and a side-notched projectile point",NA,Radiocarbon years BP,49.527778,-97.218056,"Harington, 2003: 438","Morlan et al., 2000: 144",Faunmap 3848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
784,DjOu-31,625,325,NA,"stone circle 3, containing eight small glass fragments of historic non-aboriginal origin",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 455",Faunmap 3915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
785,DjOu-4,2307,2157,NA,"test trench 1, 160 cm depth",NA,Radiocarbon years BP,49.583333,-111.416667,"Beaudoin, 1987","Brumley and Dau, 1988","Harington, 2003: 441","Wilson, 1983c",Faunmap 3913,NA,NA,NA,NA,NA,NA,NA,NA,CARD
786,DjOu-42,54,53,NA,"stone circle 1, 20-30 cm depth, in an occupation not associated with the stone circle",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
787,DjOu-42,54,53,NA,"stone circle 1, 0-20 cm depth, in the first occupation associated with the stone circle having a mean burial depth of 12.1 cm",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
788,DjOu-44,480,370,NA,"stone circle 6, tests 13-18, 0-15 cm depth, outside but associated with the stone circle and an incomplete, triangular unnotched point preform",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 457",Faunmap 3916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
789,DjOu-44,54,53,NA,"stone circle 3, with 126 aboriginal ceramic sherds and an incomplete, triangular unnotched projectile point",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
790,DjOu-5,1639,1499,NA,"cultural layer, 150-170 cm depth",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 443",Faunmap 3914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
791,DjOu-53,54,53,NA,within stone circle 2,NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
792,DjOu-60,596,486,NA,"within stone circle 9, averaging 14.8 cm depth",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 455",Faunmap 3917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
793,DjOu-60,546,366,NA,within stone circle 2,NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 455",Faunmap 3917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
794,DjOu-60,503,373,NA,within stone circle 12,NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 457",Faunmap 3917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
795,DjOu-60,54,53,NA,stone circle 14,NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
796,DjOu-62,1066,956,NA,within and outside stone circle 7,NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988",Faunmap 3918,"Harington, 2003: 449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
797,DjOu-62,576,436,NA,"within stone circle 12, five late side-notched points occurred within and immediately outside the circle",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 455",Faunmap 3918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
798,DjOu-62,463,303,NA,within and outside stone circle 9 with a single small body sherd found within the circle at 0-10 cm depth,NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 457",Faunmap 3918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
799,DjOu-62,321,141,NA,within stone circle 11,NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
800,DjOu-71,621,481,NA,"within and outside stone circle 2 with a poorly made, heavily reworked Plains/Prairie side-notched point found outside the circle",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
801,DjOu-81,1442,1262,NA,"pits containing and surrounding an Avonlea projectile point, 10-20 cm depth",NA,Radiocarbon years BP,49.583333,-111.416667,"Brumley and Dau, 1988","Harington, 2003: 445",Faunmap 3919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
802,DjPf-83,2310,2110,NA,"buried campsite on a river terrace, >1.5 m depth",NA,Radiocarbon years BP,49.583333,-112.916667,"Brumley and Rushworth, 1983","Harington, 2003: 441","Ronaghan and Reeves, 1980",Faunmap 3942,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
803,DjPl-11,1955,1775,NA,50-70 cm depth,NA,Radiocarbon years BP,49.583333,-113.983333,"Beaudoin, 1998","Van Dyke, et al. 1990",Faunmap 3946,"Harington, 2003: 442",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
804,DjPl-11,1514,1334,NA,"living floor, Level 7",NA,Radiocarbon years BP,49.583333,-113.983333,"Harington, 2003: 445","Beaudoin, 1998","Van Dyke, et al. 1990",Faunmap 3946,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
805,DjPl-13,2631,2431,NA,"roasting platform, 40-60 cm depth",NA,Radiocarbon years BP,49.6,-114,Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991","Harington, 2003: 439",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
806,DjPl-13,2234,2034,NA,"living floor, 30-40 cm depth",NA,Radiocarbon years BP,49.6,-114,"Harington, 2003: 441",Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
807,DjPl-13,2142,1902,Level 1,"Level 1, 0-10 cm depth, directly associated with a Besant point",NA,Radiocarbon years BP,49.6,-114,"Harington, 2003: 441",Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
808,DjPl-13,2111,1931,NA,"living floor, 30-40 cm depth",NA,Radiocarbon years BP,49.6,-114,"Harington, 2003: 441",Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
809,DjPl-13,1580,1400,Level 2,"Level 2, 10-20 cm depth",NA,Radiocarbon years BP,49.6,-114,"Harington, 2003: 444",Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
810,DjPl-13,1551,1391,NA,15-30 cm depth,NA,Radiocarbon years BP,49.6,-114,"Harington, 2003: 444",Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
811,DjPl-13,1000,820,NA,"netsinker occupation, 20-30 cm depth",NA,Radiocarbon years BP,49.6,-114,"Harington, 2003: 449",Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
812,DjPl-13,630,410,Level 5,"Level 5, 48-51 cm depth",NA,Radiocarbon years BP,49.6,-114,Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
813,DjPl-13,598,418,NA,"stone circle, 0-10 cm depth",NA,Radiocarbon years BP,49.6,-114,"Harington, 2003: 455",Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
814,DjPl-13,582,422,Level 5,"Level 5, 48-50 cm depth",NA,Radiocarbon years BP,49.6,-114,Faunmap 3946,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
815,DjPl-3,5061,4881,Level 3,"Level 3, 23-30 cm depth",NA,Radiocarbon years BP,49.1,-114,"Beaudoin, 1991","Harington, 2003: 434","Van Dyke, et al. 1991",Faunmap 3945,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
816,DjPl-3,4813,4633,Level 2,"Level 2, 10-20 cm depth",NA,Radiocarbon years BP,49.1,-114,"Beaudoin, 1991","Harington, 2003: 434","Van Dyke, et al. 1991",Faunmap 3945,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
817,DjPm-100,2622,2442,Level 3,"Level 3, 30 cm depth",NA,Radiocarbon years BP,49.6,-114.116667,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991","Harington, 2003: 439",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
818,DjPm-100,1742,1562,Level 6,"Level 6, 60 cm depth",NA,Radiocarbon years BP,49.6,-114.116667,"Harington, 2003: 443","Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
819,DjPm-100,1433,1253,NA,25-35 cm depth,NA,Radiocarbon years BP,49.6,-114.116667,"Harington, 2003: 445","Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
820,DjPm-100,1378,1198,Level 1,"Level 1, 15 cm depth (Beaudoin); CMU-19, a mixed Avonlea/Old Women's assemblage (Van Dyke, et al.)",NA,Radiocarbon years BP,49.6,-114.116667,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
821,DjPm-100,1074,894,NA,58 cm depth,NA,Radiocarbon years BP,49.6,-114.116667,"Harington, 2003: 449","Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
822,DjPm-100,1026,786,NA,22 cm depth,NA,Radiocarbon years BP,49.6,-114.116667,"Harington, 2003: 449","Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
823,DjPm-100,940,760,Level 10,"Level 10, 100 cm depth",NA,Radiocarbon years BP,49.6,-114.116667,"Harington, 2003: 450","Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
824,DjPm-100,830,650,NA,"bone bed, 20cm depth, mixed Avonlea and Old Women's component",NA,Radiocarbon years BP,49.6,-114.116667,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991","Harington, 2003: 451",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
825,DjPm-100,821,641,NA,"stone circle, 0-10 cm depth",NA,Radiocarbon years BP,49.6,-114.116667,"Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991","Harington, 2003: 451",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
826,DjPm-100,463,223,NA,"25 cm depth, mixed Avonlea and Old Women's component",NA,Radiocarbon years BP,49.6,-114.116667,"Harington, 2003: 457","Beaudoin, 1991, 1998","Van Dyke, et al. 1990, 1991",Faunmap 3959,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
827,DjPm-102,3588,3368,Level 3,"Level 3, 30 cm depth",NA,Radiocarbon years BP,49.6,-114.1,"Beaudoin, 1991","Harington, 2003: 436",Faunmap 3960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
